Node,Closeness_Centrality
8512,0.27113693753993123
296,0.27105447245962466
2308,0.2709638187899057
2496,0.27088969269582663
1540,0.2708732257378195
368,0.2708649930095435
852,0.27084029782707797
330,0.2707662392902716
100,0.27072511315653575
6656,0.2706428983570713
22,0.2706346796234437
274,0.2706182436535892
28,0.2705935934416274
524,0.27057716246166924
2296,0.27048682772854193
245,0.27048682772854193
278,0.27048682772854193
1030,0.27039655329348583
1026,0.27034733808584865
2544,0.2702817456707003
4336,0.2701997998969166
394,0.270142467414368
2370,0.27010971691822755
8193,0.2701015305349295
1044,0.27008515925690213
352,0.2700687899633322
6658,0.27001151305823184
4192,0.26995426044285586
771,0.26994608347973587
6272,0.26994608347973587
2480,0.269929731039496
1409,0.2698398280194992
580,0.2698153194066001
1584,0.2697744816104132
7168,0.26976631553456837
3168,0.2697418202730107
3328,0.26962756784558134
4170,0.2695949420697583
2592,0.26958678685945914
224,0.269562324188621
1041,0.2695297141993044
5488,0.26950526188460144
2561,0.26948896280616874
1264,0.26945637056298
642,0.2694074969770254
2054,0.2694074969770254
2058,0.2693993531029896
550,0.2693342198313639
137,0.26930980297352836
65,0.2692935275276485
2065,0.2691633947447901
104,0.2691552656216967
1282,0.26909025030949
2096,0.26907400138884696
6176,0.26904150943396227
420,0.2689927862123087
5504,0.2689846673910419
546,0.2689765490598497
1664,0.2689765490598497
8384,0.26895219700627715
416,0.26895219700627715
4136,0.26892784936177916
432,0.26892784936177916
2448,0.2689116200476751
4232,0.2689035061251584
1544,0.268879167295218
517,0.26883861236802414
49,0.2688223938223938
2180,0.26871702095582695
8204,0.26871702095582695
11,0.268668415181936
1328,0.268668415181936
34,0.26865221716456156
817,0.26854697764117397
2325,0.2684903443497123
1008,0.26847416779635486
752,0.26840948107098755
261,0.2683367457545465
2060,0.26823175319789316
324,0.268199464323332
4736,0.2681671832214967
8224,0.2681591141601974
8776,0.268046198267565
244,0.2680220143755075
2880,0.26799783484693573
8225,0.2679414329094134
