Node,Degree
4131,15
5132,15
5697,15
404,15
2160,15
2418,15
2128,15
8480,15
2085,15
2896,15
8472,15
263,15
1266,15
8740,15
1304,15
523,15
4124,15
1348,15
1346,15
3392,15
519,15
3568,15
5384,15
2466,15
5488,15
75,14
5378,14
2484,14
4338,14
4344,14
6184,14
5380,14
1412,14
6304,14
4625,14
2706,14
537,14
4664,14
4676,14
4626,14
6720,14
2694,14
8336,14
535,14
553,14
556,14
1797,14
178,14
1472,14
3316,14
914,14
796,14
649,14
625,14
1545,14
3138,14
5216,14
2610,14
3217,14
1569,14
4466,14
596,14
7680,14
373,14
2570,14
3216,14
572,14
801,14
38,14
833,14
802,14
23,14
3280,14
2571,14
2572,14
6658,14
1317,14
90,14
8465,14
2070,14
4768,14
9284,14
2051,14
2464,14
500,14
396,14
3376,14
369,14
297,14
2194,14
2196,14
5696,14
3472,14
2178,14
1224,14
4146,14
8484,14
101,14
692,14
2129,14
284,14
689,14
3460,14
4868,14
8752,14
9408,14
673,14
3377,14
6149,14
8737,14
8784,14
8739,14
4304,14
713,14
2736,14
5472,14
2386,14
2387,14
2836,14
8580,14
4944,14
441,14
316,14
2801,14
4929,14
4193,14
307,14
1037,14
2272,14
1043,14
2256,14
2428,14
761,14
2809,14
4152,14
1050,14
1062,14
2361,14
2338,14
1105,14
433,14
2339,14
1031,14
1027,14
2626,14
361,14
2641,14
5200,14
9352,14
9346,14
1604,14
7,14
1636,13
1350,13
3008,13
8400,13
538,13
1376,13
246,13
249,13
722,13
2325,13
2329,13
8712,13
1054,13
1081,13
417,13
5394,13
6153,13
3362,13
3586,13
6289,13
5280,13
2504,13
789,13
5148,13
2705,13
4168,13
4182,13
438,13
2310,13
1585,13
3266,13
1688,13
2618,13
376,13
2680,13
3233,13
8236,13
1123,13
1124,13
1132,13
449,13
2341,13
1090,13
152,13
666,13
1364,13
2960,13
83,13
5382,13
6161,13
525,13
3633,13
2563,13
2578,13
4196,13
4200,13
4202,13
2401,13
2373,13
582,13
526,13
1314,13
674,13
498,13
8454,13
6432,13
9728,13
4613,13
309,13
2844,13
4912,13
5570,13
613,13
177,13
2593,13
888,13
8344,13
1440,13
952,13
8833,13
8836,13
2449,13
2452,13
2457,13
8770,13
680,13
2067,13
2073,13
1173,13
1180,13
1186,13
2385,13
1550,13
184,13
7296,13
7304,13
2074,13
2098,13
2104,13
267,13
3077,13
2552,13
916,13
2693,13
338,13
300,13
7185,13
3152,13
1778,13
7170,13
3144,13
2900,13
2083,13
2086,13
2928,13
2188,13
4902,13
8578,13
8584,13
8745,13
8756,13
1474,13
165,13
166,13
3091,13
472,13
1248,13
275,13
277,13
2132,13
1272,13
4272,13
291,13
4240,13
1221,13
8516,13
5140,13
8728,13
325,13
332,13
2588,13
3616,13
2573,13
4248,13
4872,13
212,13
8289,13
4371,13
4545,13
8270,13
8993,13
3648,13
2609,13
3841,13
820,13
389,13
142,13
5008,13
2313,13
881,13
4465,13
9345,13
563,13
3248,13
44,12
5224,12
4426,12
1648,12
8229,12
8227,12
1609,12
4464,12
2664,12
531,12
4340,12
3368,12
393,12
391,12
3842,12
9025,12
569,12
8992,12
6784,12
1824,12
209,12
4876,12
2152,12
2150,12
2145,12
8489,12
3458,12
790,12
906,12
901,12
1801,12
1524,12
4140,12
5138,12
2193,12
295,12
9601,12
1270,12
5824,12
4257,12
8498,12
4866,12
551,12
3116,12
4364,12
1840,12
6688,12
8353,12
403,12
5424,12
2442,12
4229,12
5641,12
2242,12
9474,12
2212,12
2210,12
2209,12
4234,12
122,12
1185,12
8552,12
2546,12
5425,12
412,12
961,12
2122,12
2121,12
4800,12
4784,12
1291,12
1290,12
1308,12
5904,12
3084,12
7208,12
4544,12
632,12
7176,12
1810,12
1809,12
2224,12
8544,12
1228,12
114,12
51,12
4103,12
2089,12
506,12
504,12
2097,12
2076,12
8261,12
1744,12
9221,12
409,12
405,12
2241,12
1193,12
7236,12
9281,12
780,12
5410,12
8330,12
886,12
884,12
4489,12
609,12
1162,12
1158,12
1155,12
2753,12
4622,12
3338,12
3337,12
3335,12
3334,12
2976,12
2062,12
2962,12
1577,12
4472,12
1732,12
1068,12
1065,12
5129,12
2569,12
5385,12
8800,12
665,12
1928,12
4649,12
1426,12
4644,12
6404,12
2808,12
2802,12
9225,12
456,12
1128,12
1122,12
4436,12
3208,12
866,12
2620,12
2612,12
445,12
4173,12
4167,12
6276,12
5360,12
2508,12
946,12
6288,12
2690,12
1057,12
9240,12
9236,12
4148,12
744,12
757,12
9235,12
728,12
868,12
8368,12
1379,12
6200,12
541,12
8392,12
4684,12
4680,12
2993,12
4689,12
3713,12
3888,12
3872,12
2627,12
824,12
8220,12
15,12
1616,11
8213,11
8214,11
42,11
810,11
364,11
834,11
840,11
2648,11
5202,11
858,11
8994,11
5209,11
3744,11
39,11
27,11
4118,11
6186,11
4339,11
4348,11
534,11
4704,11
8387,11
6213,11
3331,11
6155,11
1352,11
1354,11
3378,11
8404,11
8416,11
6169,11
6177,11
6178,11
794,11
8848,11
1936,11
5257,11
55,11
60,11
785,11
5361,11
6244,11
6273,11
8355,11
650,11
6336,11
6344,11
1920,11
154,11
158,11
8459,11
8460,11
668,11
1368,11
2497,11
2498,11
3576,11
397,11
8468,11
6156,11
6157,11
6147,11
4740,11
8457,11
3333,11
9732,11
4617,11
8345,11
8332,11
1322,11
1329,11
1332,11
1333,11
5144,11
2456,11
8466,11
681,11
2075,11
509,11
1876,11
2553,11
5249,11
4107,11
4109,11
2698,11
5153,11
5156,11
2897,11
1292,11
4772,11
9473,11
2920,11
8473,11
3425,11
5872,11
964,11
968,11
2421,11
1010,11
6664,11
170,11
172,11
1856,11
1860,11
549,11
3448,11
9276,11
690,11
4276,11
286,11
4874,11
2888,11
3122,11
8294,11
8300,11
4378,11
214,11
3106,11
1521,11
1522,11
1226,11
8513,11
4882,11
4883,11
5131,11
8721,11
4147,11
331,11
1804,11
2582,11
348,11
5164,11
898,11
908,11
2548,11
124,11
4233,11
2214,11
5664,11
5716,11
2872,11
1218,11
2388,11
4212,11
4228,11
4230,11
9632,11
8268,11
1547,11
1777,11
3145,11
2822,11
2852,11
4900,11
1181,11
1189,11
406,11
9222,11
626,11
628,11
9762,11
3281,11
4504,11
4516,11
4386,11
1561,11
1539,11
1541,11
2300,11
4913,11
714,11
9248,11
1157,11
1166,11
2819,11
2820,11
202,11
4032,11
8896,11
5252,11
1138,11
4184,11
4185,11
2404,11
1035,11
2371,11
2374,11
5492,11
1728,11
1574,11
1553,11
1554,11
1696,11
1708,11
3212,11
4442,11
1126,11
8609,11
451,11
452,11
318,11
4934,11
2825,11
1136,11
1137,11
5508,11
4177,11
1144,11
1121,11
4402,11
374,11
377,11
5169,11
8961,11
8976,11
1100,11
9233,11
436,11
2770,11
5056,11
108,11
9856,11
4961,11
4976,11
4977,11
1080,11
1082,11
1061,11
427,11
1099,11
8218,11
565,11
5217,11
45,11
5656,10
2849,10
1171,10
705,10
712,10
5700,10
2218,10
5666,10
8207,10
585,10
1670,10
8984,10
9000,10
3904,10
1633,10
5640,10
5650,10
2244,10
2833,10
4208,10
9252,10
8520,10
4889,10
3240,10
1590,10
8217,10
294,10
2198,10
2204,10
8548,10
4236,10
1161,10
2821,10
4932,10
4195,10
3221,10
1570,10
5172,10
3652,10
570,10
314,10
5568,10
8640,10
465,10
2868,10
1219,10
469,10
470,10
5768,10
9480,10
4245,10
8488,10
1573,10
602,10
3204,10
3632,10
9544,10
5232,10
2881,10
2884,10
8600,10
453,10
454,10
457,10
315,10
4169,10
4172,10
614,10
203,10
7426,10
7432,10
4490,10
3184,10
3617,10
3601,10
2676,10
2574,10
3442,10
688,10
5792,10
3476,10
4180,10
4945,10
442,10
2311,10
2315,10
7232,10
1549,10
8262,10
350,10
2674,10
900,10
902,10
721,10
2115,10
4850,10
4870,10
4268,10
3441,10
9264,10
9425,10
2702,10
5154,10
5155,10
337,10
5266,10
9760,10
4528,10
7177,10
1760,10
4498,10
1730,10
4816,10
1274,10
732,10
1108,10
2294,10
5514,10
4536,10
3156,10
3160,10
3139,10
629,10
53,10
5906,10
4292,10
1285,10
1287,10
1334,10
8469,10
3142,10
3146,10
4380,10
182,10
928,10
940,10
8804,10
945,10
2708,10
